Seconds: 0 ADC0: 3,40 ADC1: 3,40 CURR,: 0,00
Seconds: 5 ADC0: 3,27 ADC1: 3,27 CURR,: 0,00
Seconds: 10 ADC0: 3,23 ADC1: 3,23 CURR,: 0,00
Seconds: 15 ADC0: 3,21 ADC1: 3,20 CURR,: 0,00
Seconds: 20 ADC0: 3,37 ADC1: 3,37 CURR,: 0,00
Seconds: 25 ADC0: 3,37 ADC1: 3,37 CURR,: 0,00
Seconds: 30 ADC0: 3,70 ADC1: 4,59 CURR,: 0,18
Seconds: 35 ADC0: 3,71 ADC1: 4,59 CURR,: 0,18
Seconds: 40 ADC0: 3,72 ADC1: 4,59 CURR,: 0,18
Seconds: 45 ADC0: 3,73 ADC1: 4,59 CURR,: 0,17
Seconds: 50 ADC0: 3,73 ADC1: 4,60 CURR,: 0,17
Seconds: 55 ADC0: 3,74 ADC1: 4,60 CURR,: 0,17
Seconds: 60 ADC0: 3,74 ADC1: 4,60 CURR,: 0,17
Seconds: 65 ADC0: 3,75 ADC1: 4,60 CURR,: 0,17
Seconds: 70 ADC0: 3,75 ADC1: 4,60 CURR,: 0,17
Seconds: 75 ADC0: 3,76 ADC1: 4,60 CURR,: 0,17
Seconds: 80 ADC0: 3,76 ADC1: 4,60 CURR,: 0,17
Seconds: 85 ADC0: 3,77 ADC1: 4,60 CURR,: 0,17
Seconds: 90 ADC0: 3,77 ADC1: 4,61 CURR,: 0,17
Seconds: 95 ADC0: 3,77 ADC1: 4,61 CURR,: 0,17
Seconds: 100 ADC0: 3,78 ADC1: 4,60 CURR,: 0,17
Seconds: 105 ADC0: 3,78 ADC1: 4,60 CURR,: 0,16
Seconds: 110 ADC0: 3,78 ADC1: 4,61 CURR,: 0,17
Seconds: 115 ADC0: 3,79 ADC1: 4,61 CURR,: 0,16
Seconds: 120 ADC0: 3,79 ADC1: 4,61 CURR,: 0,16
Seconds: 125 ADC0: 3,80 ADC1: 4,61 CURR,: 0,16
Seconds: 130 ADC0: 3,80 ADC1: 4,61 CURR,: 0,16
Seconds: 135 ADC0: 3,81 ADC1: 4,61 CURR,: 0,16
Seconds: 140 ADC0: 3,81 ADC1: 4,61 CURR,: 0,16
Seconds: 145 ADC0: 3,81 ADC1: 4,61 CURR,: 0,16
Seconds: 150 ADC0: 3,82 ADC1: 4,61 CURR,: 0,16
Seconds: 155 ADC0: 3,82 ADC1: 4,61 CURR,: 0,16
Seconds: 160 ADC0: 3,82 ADC1: 4,61 CURR,: 0,16
Seconds: 165 ADC0: 3,82 ADC1: 4,61 CURR,: 0,16
Seconds: 170 ADC0: 3,83 ADC1: 4,61 CURR,: 0,16
Seconds: 175 ADC0: 3,83 ADC1: 4,61 CURR,: 0,16
Seconds: 180 ADC0: 3,83 ADC1: 4,61 CURR,: 0,16
Seconds: 185 ADC0: 3,83 ADC1: 4,61 CURR,: 0,16
Seconds: 190 ADC0: 3,84 ADC1: 4,61 CURR,: 0,16
Seconds: 195 ADC0: 3,84 ADC1: 4,61 CURR,: 0,16
Seconds: 200 ADC0: 3,84 ADC1: 4,62 CURR,: 0,16
Seconds: 205 ADC0: 3,84 ADC1: 4,62 CURR,: 0,16
Seconds: 210 ADC0: 3,84 ADC1: 4,62 CURR,: 0,16
Seconds: 215 ADC0: 3,85 ADC1: 4,62 CURR,: 0,15
Seconds: 220 ADC0: 3,85 ADC1: 4,62 CURR,: 0,15
Seconds: 225 ADC0: 3,85 ADC1: 4,62 CURR,: 0,15
Seconds: 230 ADC0: 3,86 ADC1: 4,62 CURR,: 0,15
Seconds: 235 ADC0: 3,86 ADC1: 4,62 CURR,: 0,15
Seconds: 240 ADC0: 3,85 ADC1: 4,62 CURR,: 0,15
Seconds: 245 ADC0: 3,86 ADC1: 4,62 CURR,: 0,15
Seconds: 250 ADC0: 3,86 ADC1: 4,62 CURR,: 0,15
Seconds: 255 ADC0: 3,86 ADC1: 4,62 CURR,: 0,15
Seconds: 260 ADC0: 3,87 ADC1: 4,62 CURR,: 0,15
Seconds: 265 ADC0: 3,87 ADC1: 4,62 CURR,: 0,15
Seconds: 270 ADC0: 3,87 ADC1: 4,62 CURR,: 0,15
Seconds: 275 ADC0: 3,87 ADC1: 4,62 CURR,: 0,15
Seconds: 280 ADC0: 3,88 ADC1: 4,62 CURR,: 0,15
Seconds: 285 ADC0: 3,87 ADC1: 4,62 CURR,: 0,15
Seconds: 290 ADC0: 3,87 ADC1: 4,62 CURR,: 0,15
Seconds: 295 ADC0: 3,88 ADC1: 4,62 CURR,: 0,15
Seconds: 300 ADC0: 3,88 ADC1: 4,62 CURR,: 0,15
Seconds: 305 ADC0: 3,88 ADC1: 4,62 CURR,: 0,15
Seconds: 310 ADC0: 3,88 ADC1: 4,62 CURR,: 0,15
